판매_일시,분류,상품_코드,상품_명,판매_수량,판매_금액,결제_수단,판매_방법,점포_코드,점포_명,점포_위치_좌표_x좌표,점포_위치_좌표_y좌표,,
2019-01-01 0:00,A,a,coffee,0,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,양천구_목2동_위치좌표
2019-01-01 1:00,A,b,carbonated beverage,0,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 2:00,A,c,isotonic beverage,0,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 3:00,A,d,water,0,1000,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 4:00,B,e,chocolate,0,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 5:00,B,f,gum,0,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 6:00,B,g,snack,0,2000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 7:00,A,a,coffee,50,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 8:00,A,b,carbonated beverage,50,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 9:00,A,c,isotonic beverage,30,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 10:00,A,d,water,10,1000,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 11:00,B,e,chocolate,10,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 12:00,B,f,gum,75,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 13:00,B,g,snack,75,2000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 14:00,A,a,coffee,30,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 15:00,A,b,carbonated beverage,10,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 16:00,A,c,isotonic beverage,10,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 17:00,A,d,water,10,1000,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 18:00,B,e,chocolate,50,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 19:00,B,f,gum,75,1000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 20:00,B,g,snack,50,2000,cash,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 21:00,A,a,coffee,50,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 22:00,A,b,carbonated beverage,20,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
2019-01-01 23:00,A,c,isotonic beverage,5,1500,card,vending_machine,n1,mok2,126.8738185,37.54604478,,
